Number of Edges,Edges
10,"(1, 9)"
10,"(1, 3)"
10,"(2, 5)"
10,"(3, 5)"
10,"(4, 8)"
10,"(5, 8)"
10,"(5, 10)"
10,"(6, 7)"
10,"(7, 9)"
10,"(7, 8)"
20,"(1, 3)"
20,"(1, 6)"
20,"(1, 10)"
20,"(1, 9)"
20,"(1, 7)"
20,"(2, 6)"
20,"(2, 7)"
20,"(2, 5)"
20,"(3, 9)"
20,"(3, 10)"
20,"(4, 5)"
20,"(4, 10)"
20,"(4, 6)"
20,"(5, 7)"
20,"(5, 8)"
20,"(6, 8)"
20,"(7, 8)"
20,"(7, 9)"
20,"(8, 9)"
20,"(9, 10)"
30,"(1, 5)"
30,"(1, 8)"
30,"(1, 2)"
30,"(1, 3)"
30,"(1, 4)"
30,"(1, 7)"
30,"(2, 8)"
30,"(2, 6)"
30,"(2, 7)"
30,"(2, 5)"
30,"(2, 10)"
30,"(2, 9)"
30,"(2, 3)"
30,"(3, 7)"
30,"(3, 5)"
30,"(3, 8)"
30,"(3, 4)"
30,"(3, 6)"
30,"(3, 9)"
30,"(4, 8)"
30,"(4, 5)"
30,"(4, 9)"
30,"(5, 9)"
30,"(5, 6)"
30,"(6, 10)"
30,"(6, 7)"
30,"(6, 8)"
30,"(7, 8)"
30,"(8, 10)"
30,"(9, 10)"
40,"(1, 3)"
40,"(1, 9)"
40,"(1, 8)"
40,"(1, 4)"
40,"(1, 10)"
40,"(1, 7)"
40,"(1, 5)"
40,"(1, 2)"
40,"(2, 9)"
40,"(2, 7)"
40,"(2, 4)"
40,"(2, 3)"
40,"(2, 10)"
40,"(2, 6)"
40,"(2, 5)"
40,"(2, 8)"
40,"(3, 4)"
40,"(3, 10)"
40,"(3, 9)"
40,"(3, 8)"
40,"(3, 6)"
40,"(3, 7)"
40,"(3, 5)"
40,"(4, 9)"
40,"(4, 8)"
40,"(4, 10)"
40,"(4, 5)"
40,"(4, 7)"
40,"(5, 7)"
40,"(5, 9)"
40,"(5, 6)"
40,"(6, 7)"
40,"(6, 10)"
40,"(6, 8)"
40,"(6, 9)"
40,"(7, 8)"
40,"(7, 10)"
40,"(8, 10)"
40,"(8, 9)"
40,"(9, 10)"
